2026-06-18 11:02:09,199 | INFO | package: mysql.connector.plugins
2026-06-18 11:02:09,199 | INFO | plugin_name: caching_sha2_password
2026-06-18 11:02:09,199 | INFO | AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2026-06-18 11:02:10,008 | INFO | package: mysql.connector.plugins
2026-06-18 11:02:10,009 | INFO | plugin_name: caching_sha2_password
2026-06-18 11:02:10,010 | INFO | AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2026-06-18 11:02:10,163 | INFO | 1 change detected
2026-06-18 11:02:10,518 | INFO | 1 change detected
2026-06-18 11:02:10,882 | INFO | 1 change detected
2026-06-18 11:02:11,237 | INFO | 1 change detected
2026-06-18 11:02:11,600 | INFO | 1 change detected
2026-06-18 11:02:26,304 | INFO | package: mysql.connector.plugins
2026-06-18 11:02:26,307 | INFO | plugin_name: caching_sha2_password
2026-06-18 11:02:26,307 | INFO | AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2026-06-18 11:02:27,078 | INFO | package: mysql.connector.plugins
2026-06-18 11:02:27,079 | INFO | plugin_name: caching_sha2_password
2026-06-18 11:02:27,079 | INFO | AUTHENTICATION_PLUGIN_CLASS: MySQLCachingSHA2PasswordAuthPlugin
2026-06-18 11:02:27,208 | INFO | 1 change detected
2026-06-18 11:02:27,560 | INFO | 1 change detected
2026-06-18 11:02:27,922 | INFO | 1 change detected
2026-06-18 11:02:28,281 | INFO | 1 change detected
2026-06-18 11:02:28,646 | INFO | 1 change detected
2026-06-18 11:02:29,001 | INFO | 1 change detected
2026-06-18 11:02:29,361 | INFO | 1 change detected
2026-06-18 11:02:29,731 | INFO | 1 change detected
2026-06-18 11:02:30,090 | INFO | 1 change detected
2026-06-18 11:02:30,444 | INFO | 1 change detected
2026-06-18 11:02:30,798 | INFO | 1 change detected
2026-06-18 11:02:31,165 | INFO | 1 change detected
2026-06-18 11:02:31,528 | INFO | 1 change detected
2026-06-18 11:02:31,882 | INFO | 1 change detected
2026-06-18 11:02:32,237 | INFO | 1 change detected
2026-06-18 11:02:32,598 | INFO | 1 change detected
2026-06-18 11:02:32,964 | INFO | 1 change detected
2026-06-18 11:02:33,315 | INFO | 1 change detected
2026-06-18 11:02:33,680 | INFO | 1 change detected
2026-06-18 11:02:34,047 | INFO | 1 change detected
2026-06-18 11:02:34,398 | INFO | 1 change detected
2026-06-18 11:02:34,751 | INFO | 1 change detected
2026-06-18 11:02:35,115 | INFO | 1 change detected
2026-06-18 11:02:35,482 | INFO | 1 change detected
2026-06-18 11:02:35,847 | INFO | 1 change detected
2026-06-18 11:02:36,199 | INFO | 1 change detected
2026-06-18 11:02:36,552 | INFO | 1 change detected
2026-06-18 11:02:36,916 | INFO | 1 change detected
2026-06-18 11:02:37,282 | INFO | 1 change detected
2026-06-18 11:02:37,643 | INFO | 1 change detected
2026-06-18 11:02:37,999 | INFO | 1 change detected
2026-06-18 11:02:38,354 | INFO | 1 change detected
2026-06-18 11:02:38,709 | INFO | 1 change detected
2026-06-18 11:02:39,072 | INFO | 1 change detected
2026-06-18 11:02:39,425 | INFO | 1 change detected
2026-06-18 11:02:39,783 | INFO | 1 change detected
2026-06-18 11:02:40,143 | INFO | 1 change detected
2026-06-18 11:02:40,504 | INFO | 1 change detected
2026-06-18 11:02:40,640 | INFO | GET/agents called
2026-06-18 11:02:40,861 | INFO | 1 change detected
2026-06-18 11:02:41,229 | INFO | 1 change detected
2026-06-18 11:02:41,581 | INFO | 1 change detected
2026-06-18 11:02:41,934 | INFO | 1 change detected
2026-06-18 11:02:42,291 | INFO | 1 change detected
2026-06-18 11:02:42,643 | INFO | 1 change detected
2026-06-18 11:02:43,008 | INFO | 1 change detected
2026-06-18 11:02:43,372 | INFO | 1 change detected
2026-06-18 11:02:43,738 | INFO | 1 change detected
2026-06-18 11:02:44,089 | INFO | 1 change detected
2026-06-18 11:02:44,440 | INFO | 1 change detected
2026-06-18 11:02:44,792 | INFO | 1 change detected
2026-06-18 11:02:45,149 | INFO | 1 change detected
2026-06-18 11:02:45,509 | INFO | 1 change detected
2026-06-18 11:02:45,865 | INFO | 1 change detected
2026-06-18 11:02:46,218 | INFO | 1 change detected
2026-06-18 11:02:46,580 | INFO | 1 change detected
2026-06-18 11:02:46,948 | INFO | 1 change detected
2026-06-18 11:02:47,314 | INFO | 1 change detected
2026-06-18 11:02:47,681 | INFO | 1 change detected
2026-06-18 11:02:48,046 | INFO | 1 change detected
2026-06-18 11:02:48,402 | INFO | 1 change detected
2026-06-18 11:02:48,754 | INFO | 1 change detected
2026-06-18 11:02:49,112 | INFO | 1 change detected
2026-06-18 11:02:49,477 | INFO | 1 change detected
2026-06-18 11:02:49,835 | INFO | 1 change detected
2026-06-18 11:02:50,198 | INFO | 1 change detected
2026-06-18 11:02:50,554 | INFO | 1 change detected
2026-06-18 11:02:50,911 | INFO | 1 change detected
2026-06-18 11:02:51,267 | INFO | 1 change detected
2026-06-18 11:02:51,633 | INFO | 1 change detected
2026-06-18 11:02:51,996 | INFO | 1 change detected
2026-06-18 11:02:52,350 | INFO | 1 change detected
2026-06-18 11:02:52,716 | INFO | 1 change detected
2026-06-18 11:02:53,071 | INFO | 1 change detected
2026-06-18 11:02:53,432 | INFO | 1 change detected
2026-06-18 11:02:53,794 | INFO | 1 change detected
2026-06-18 11:02:54,146 | INFO | 1 change detected
2026-06-18 11:02:54,498 | INFO | 1 change detected
2026-06-18 11:02:54,857 | INFO | 1 change detected
2026-06-18 11:02:55,215 | INFO | 1 change detected
2026-06-18 11:02:55,569 | INFO | 1 change detected
2026-06-18 11:02:55,935 | INFO | 1 change detected
2026-06-18 11:02:56,296 | INFO | 1 change detected
2026-06-18 11:02:56,650 | INFO | 1 change detected
2026-06-18 11:02:57,016 | INFO | 1 change detected
2026-06-18 11:02:57,380 | INFO | 1 change detected
2026-06-18 11:02:57,734 | INFO | 1 change detected
2026-06-18 11:02:58,100 | INFO | 1 change detected
2026-06-18 11:02:58,452 | INFO | 1 change detected
2026-06-18 11:02:58,812 | INFO | 1 change detected
2026-06-18 11:02:59,165 | INFO | 1 change detected
2026-06-18 11:02:59,530 | INFO | 1 change detected
2026-06-18 11:02:59,883 | INFO | 1 change detected
2026-06-18 11:03:00,236 | INFO | 1 change detected
2026-06-18 11:03:00,597 | INFO | 1 change detected
2026-06-18 11:03:00,963 | INFO | 1 change detected
2026-06-18 11:03:01,317 | INFO | 1 change detected
2026-06-18 11:03:01,672 | INFO | 1 change detected
2026-06-18 11:03:02,026 | INFO | 1 change detected
2026-06-18 11:03:02,382 | INFO | 1 change detected
2026-06-18 11:03:02,735 | INFO | 1 change detected
2026-06-18 11:03:03,092 | INFO | 1 change detected
2026-06-18 11:03:03,446 | INFO | 1 change detected
2026-06-18 11:03:03,798 | INFO | 1 change detected
2026-06-18 11:03:04,159 | INFO | 1 change detected
2026-06-18 11:03:04,512 | INFO | 1 change detected
2026-06-18 11:03:04,876 | INFO | 1 change detected
2026-06-18 11:03:05,232 | INFO | 1 change detected
2026-06-18 11:03:05,619 | INFO | 1 change detected
2026-06-18 11:03:05,975 | INFO | 1 change detected
2026-06-18 11:03:06,331 | INFO | 1 change detected
2026-06-18 11:03:06,699 | INFO | 1 change detected
2026-06-18 11:03:07,064 | INFO | 1 change detected
2026-06-18 11:03:07,430 | INFO | 1 change detected
2026-06-18 11:03:07,787 | INFO | 1 change detected
2026-06-18 11:03:08,150 | INFO | 1 change detected
